epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.28569,1.09093,8.58706,2.85555,1.38716,0.57454,0.85,0.87817,0.63489,0,0,0,0,1.64738,5.12517,1.07036,1.38135,0,0,0
2,7.81363,1.3051,8.35159,2.49282,1.48843,0.5643,0.85,0.84861,0.63183,0,0,0,0,1.64506,5.12553,1.06066,1.37184,1.17822e-06,1.17822e-06,1.17822e-06
3,9.40155,0.90937,8.02423,3.49423,1.36115,0.55991,0.85,0.85055,0.63263,0,0,0,0,1.66644,5.12604,1.06042,1.37852,2.33288e-06,2.33288e-06,2.33288e-06
4,10.9227,1.13834,8.91477,2.68686,1.30082,0.56095,0.85,0.84953,0.63243,0,0,0,0,1.66007,5.12652,1.05545,1.37638,3.46397e-06,3.46397e-06,3.46397e-06
5,12.438,1.23027,8.34999,3.11429,1.51867,0.56995,0.85,0.85511,0.62112,0,0,0,0,1.66019,5.12701,1.04277,1.37434,4.5715e-06,4.5715e-06,4.5715e-06
6,13.8601,1.26541,7.30744,4.22317,1.60712,0.54602,0.85,0.8938,0.62599,0,0,0,0,1.69127,5.1273,1.06404,1.38096,5.65548e-06,5.65548e-06,5.65548e-06
7,15.2302,0.81264,9.36992,1.88651,1.1305,0.54103,0.85,0.89327,0.62525,0.66074,0.16667,0.16583,0.01658,1.68627,5.12778,1.06698,1.37665,6.71588e-06,6.71588e-06,6.71588e-06
8,16.6397,1.17062,7.97853,3.87734,1.45421,0.5508,0.86061,0.8589,0.61256,0.66069,0.16667,0.16583,0.01658,1.64774,5.12823,1.06662,1.35196,7.75273e-06,7.75273e-06,7.75273e-06
9,18.0706,1.06126,8.36336,2.79932,1.37695,0.57406,0.86252,0.81823,0.59571,0.66062,0.16667,0.16583,0.01658,1.6689,5.12875,1.07029,1.36217,8.76602e-06,8.76602e-06,8.76602e-06
10,19.5435,0.90586,8.11228,3.37967,1.3506,0.57654,0.86336,0.85524,0.62043,0.66038,0.16667,0.16583,0.01658,1.67406,5.13315,1.07481,1.36297,9.75574e-06,9.75574e-06,9.75574e-06
11,20.9904,1.02439,8.59107,2.63648,1.21237,0.57517,0.86274,0.85455,0.62001,0.66023,0.16667,0.16583,0.03317,1.67588,5.13347,1.0822,1.36399,1.07219e-05,1.07219e-05,1.07219e-05
12,22.4969,0.77984,8.11474,2.16904,1.14399,0.58375,0.85902,0.85556,0.62133,0.6602,0.16667,0.16583,0.03317,1.67709,5.13356,1.09825,1.36748,1.16645e-05,1.16645e-05,1.16645e-05
13,23.9561,0.92276,8.54846,2.45229,1.13625,0.60624,0.86295,0.85567,0.62322,0.66,0.16667,0.16583,0.03317,1.68493,5.13451,1.10947,1.37112,1.25835e-05,1.25835e-05,1.25835e-05
14,25.3765,1.07654,7.78176,2.05655,1.35228,0.61842,0.86667,0.87872,0.62799,0.65993,0.16667,0.16583,0.03317,1.68383,5.135,1.13345,1.37421,1.3479e-05,1.3479e-05,1.3479e-05
